,,,,,TF-IDF,ELMo,Universal Sentence Encoder,Sentence length,Stopword count,WH question type,HbA1c test,HbA1c range,Q8 - GS
2758956,How can i lower my A1C its 10.8 ? ,[],"['HBA1C,', '=', '10.8,']",[],1,0.99999994,1.000000119,1,1,1,1,1,
,,,,,,,,,,,,,
3386238,How do i lower my a1c quickly im diabetic and its at 14 i have about 2 month? ,[],"['HBA1C,', '=', '14.0,']",[],0.216628487,0.804963827,0.858402848,0.357142857,0.5,1,1,1,3.888888889
1917604,can a1c levels be reduced in less than 24 hrs? ,[],"['HBA1C,', '<,', '24.0,']",[],0.080136127,0.627675772,0.674449801,0.928571429,1,0,1,1,3.333333333
2181188,How difficult is it to get my A1C level from 6.8 to 6.1? ,[],"['HBA1C,', '>=', '6.8,', ',', 'HBA1C,', '<=', '6.1,']",[],0.080136127,0.728716433,0.636509001,0.714285714,0.875,1,1,1,3.222222222
450669,My Blood sugar A1c level is 7.6 is what i was trying to ask. it that too high? ,[],"['HBA1C,', '=', '7.6,']",[],0.076929513,0.703858197,0.733135045,0.357142857,0.5,1,1,1,2.333333333
1170767,What symptoms what I have if my A1C level was 13? ,[],"['HBA1C,', '=', '13.0,']",[],0.113049584,0.668252707,0.633394301,0.857142857,0.875,1,1,1,2.333333333
2881833,diabetes My A1C was 8.2 -is that ok? ,[],"['HBA1C,', '=', '8.2,']",[],0.103277408,0.655125558,0.644758582,0.928571429,0.75,0,1,1,2.333333333
3663888,is an A1c level of 8.0 bad? ,[],"['HBA1C,', '=', '8.0,']",[],0.126290452,0.564338923,0.686308742,0.857142857,0.875,0,1,1,1.833333333
114931,what is an average blood sugar if your a1c is 17? ,[],"['HBA1C,', '=', '17.0,']",[],0.097295747,0.652163923,0.695634127,0.857142857,0.875,1,1,1,1.333333333
1065217,108 glucose too high for your sugar level? ,"['Glucose,', '=', '108,']",[],[],0.399919139,0.560443819,0.685772717,0.928571429,0.875,0,0,0,0.666666667
2758798,LOWER BLOOD SUGAR READING FAST? ,,,,0.178446452,0.466016471,0.681421161,0.714285714,0.5,0,0,0,0.666666667